name,allergens,ratings
Sliced Sourdough Bread,"['Vegan', 'Wheat / Gluten']",[]
Sliced Multi Grain Bread,"['Vegetarian', 'Wheat / Gluten']",[]
Sliced Honey Wheat Bread,"['Dairy', 'Vegetarian', 'Wheat / Gluten']",[]
Assorted Pastries and Desserts,"['Dairy', 'Eggs', 'Soy', 'Tree Nuts', 'Vegetarian', 'Wheat / Gluten']",[]
Assorted Cookies,"['Dairy', 'Eggs', 'Peanuts', 'Soy', 'Tree Nuts', 'Vegetarian', 'Wheat / Gluten']",[]
Assorted Fruits,['Vegan'],[]
Traditional Hummus,"['Sesame', 'Vegan']",[]
Cilantro Hummus,"['Sesame', 'Vegan']",[]
Roasted Red Pepper Hummus,"['Sesame', 'Vegan']",[]
Roasted Vegetables,['Vegan'],[]
Olive Tapenade,['Vegan'],[]
Tahini Sauce,"['Sesame', 'Vegan']",[]
Assorted Olives,['Vegan'],[]
Assorted Pickled and Marinated Vegetables,['Vegan'],[]
Pasta Salad,"['Vegan', 'Wheat / Gluten']",[]
Tabbouleh,"['Vegan', 'Wheat / Gluten']",[]
Steamed Jasmine Rice,['Vegan'],[]
Asian Peanut Zoodle Buddha Bowl,"['Peanuts', 'Soy', 'Vegan']",[]
Sweet and Sour Pineapple and Tofu Stir Fry,['Food Not Analyzed for Allergens'],[]
Strawberry Ice Cream,"['Dairy', 'Vegetarian']",[]
Chocolate Ice Cream,"['Dairy', 'Vegetarian']",[]
Vanilla Bean Ice Cream,"['Dairy', 'Vegetarian']",[]
Whipped Cream,"['Dairy', 'Vegetarian']",[]
Strawberry Sauce,['Vegetarian'],[]
Raspberry Sauce,['Vegetarian'],[]
Chocolate Sauce,['Food Not Analyzed for Allergens'],[]
Crumbled Oreo Cookies,"['Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Maraschino Cherries,['Vegetarian'],[]
Chopped Peanuts,"['Peanuts', 'Vegan']",[]
Sliced Almonds,"['Tree Nuts', 'Vegan']",[]
Chocolate Chips,"['Dairy', 'Soy', 'Vegetarian']",[]
Roasted Chicken,[],[]
Baked Sweet Potatoes,['Vegan'],[]
Sauteed Mushrooms,['Vegan'],[]
Beef Gyro Pita Sandwich,"['Dairy', 'Soy', 'Wheat / Gluten']",[]
Grilled  Zucchini Caprese Wrap,"['Dairy', 'Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Waffle Fries,"['Soy', 'Vegan']",[]
Salad and Deli Bar (Customize for veggie options),['Food Not Analyzed for Allergens'],[]
"Cheesy Garlic, Roasted Vegetables, and Feta Naan Pizza","['Dairy', 'Eggs', 'Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Meat Lovers' Flatbread Pizza,"['Dairy', 'Pork', 'Soy', 'Wheat / Gluten']",[]
